time,difference
187.5,3.8204648671
187.7,3.852532941
188,3.742632756
188.1,3.719086329
188.4,3.6607118969
188.8,3.6962621587
189.6,3.681150163
189.8,3.5602772801
190.3,3.589396967
190.5,3.6126600835
190.8,3.5061140836
191.1,3.6601633761
191.2,3.642799067
191.4,3.5124271839
191.8,3.3939776722
192,3.3688171997
192.3,3.3463030782
192.5,3.3201109983
192.9,3.4040193223
193.3,3.4399896407
193.7,3.3979305806
194.3,3.3970749502
194.6,3.39194764
195.1,3.4038978613
195.4,3.3919517463
195.8,3.3344515074
196.1,3.1973076718
196.4,3.1885746989
197,3.2270758677
197.7,3.314682812
197.9,3.2218185852
198.1,3.1445878479
198.3,3.0843848307
198.7,3.2440204451
198.8,3.3692154607
199.2,3.4487759929
199.4,3.4694179729
199.7,3.3629885127
200,3.2958197692
200.1,3.2068850483
200.4,3.1358656584
200.6,3.1909891063
201,3.2706408954
201.3,3.1795467896
201.7,3.1073084099
202,3.08948515
202.2,2.9912970292
202.6,2.90525372
203,3.0173329909
203.1,3.0432590275
203.3,3.0963292936
203.5,3.0587650098
203.9,2.9297086948
204.2,2.9265788469
204.5,2.9568149883
204.7,3.1275590696
204.9,3.2025355208
205.2,3.0584642613
205.6,3.1858105334
205.8,3.2880685245
206,3.3084905816
206.2,3.2619217651
206.4,3.2195963718
206.6,3.2254599332
206.8,3.3061694492
207,3.2226168159
207.3,3.3699471191
207.5,3.3118246123
207.8,3.2282698127
208.3,3.1656124697
208.6,3.1668279825
208.8,3.1871280515
209,3.2637965049
209.1,3.3876522462
209.3,3.4578286764
209.5,3.3203976078
209.8,3.1985694177
209.9,3.2616566425
210.2,3.1747304231
210.3,3.114862785
210.6,3.2626523862
210.8,3.2175565326
211,3.1372317191
211.2,3.0382596829
211.8,2.9843217714
212,3.1324622731
212.3,3.1618687608
212.6,3.0799345267
212.9,3.0182550574
213.1,3.02858391
213.2,2.9442512829
213.4,2.926793036
213.6,2.900452005
213.7,2.9778031753
214,2.9945935065
214.4,2.9192007427
214.7,2.9690471694
214.9,3.0877490244
215,3.1044966368
215.2,3.1116077166
215.8,3.0479938356
216,3.0078075825
216.4,3.0864695872
216.7,3.2904020749
217,3.2555163885
217.3,3.159179012
217.4,3.057056126
218.2,2.9764567866
218.3,3.0577924133
218.4,3.1362400424
218.7,3.1255338391
218.9,3.1712945907
219.2,3.2170652793
219.4,3.3390569799
219.5,3.3268838105
219.8,3.3303409167
220.4,3.3989694234
220.7,3.3122845947
220.9,3.2264567314
221.1,3.2346570014
221.4,3.1357286787
221.7,3.2138743772
221.8,3.2831813306
222,3.3647811483
222.5,3.23047448
222.6,3.2693263932
222.7,3.3499202832
222.8,3.4193511996
223.1,3.5109018381
223.5,3.4411655687
223.6,3.5423889175
223.9,3.5234555492
224,3.5022831002
224.1,3.5246461084
224.3,3.4834266912
224.6,3.4762792503
225,3.3814238696
225.3,3.4192490072
225.4,3.4210188673
225.7,3.469644906
226.1,3.4843922165
226.6,3.5050898563
226.8,3.5151119092
226.9,3.4103095031
227.4,3.3482240527
227.7,3.3277215852
227.8,3.3371175997
227.9,3.4747831719
228,3.4966836542
228.4,3.4578381197
229.2,3.4423519247
229.3,3.4391458552
229.5,3.4958724932
229.7,3.5793139929
230,3.5685321917
230.6,3.5893457441
230.7,3.6686868028
231,3.6431056646
231.2,3.7227654158
231.4,3.826322029
231.6,3.7874924806
231.8,3.8424550803
231.9,3.9630736872
232.1,4.108111872
232.3,4.1425006711
232.6,4.2107971104
232.8,4.2981002111
233,4.1862218169
233.8,3.9672370589
233.9,4.0970452393
234.3,4.0781867252
234.4,4.1644670103
234.8,4.246609192
234.9,4.1775388922
235.3,4.2287493637
235.7,4.2562652703
235.8,4.1677215483
236,4.046178843
236.3,4.1045411915
236.7,3.9648154086
236.9,3.9676209111
237,4.0054570922
237.1,4.0822480286
237.3,4.035004816
237.5,4.1465965327
237.8,4.0468385828
238,4.0340875244
238.3,3.9297314589
238.5,3.856226399
238.8,3.7969979882
239,3.7417766733
239.5,3.8824503738
239.9,3.8022082188
240,3.9489039927
240.1,3.9088392007
240.3,4.0802158025
240.7,4.0649686375
240.8,4.0153130404
241.2,4.0274372399
241.3,4.0131850696
241.5,3.9596651907
241.8,3.8965621571
242,3.8479248769
242.3,3.9487805884
242.4,3.8983044334
242.6,3.7600464043
243,3.8092519776
243.2,3.9098409407
243.5,3.8419845092
243.7,3.7653901255
243.9,3.7152143843
244,3.6872390199
244.4,3.6329218538
244.7,3.5627669413
245,3.6409670235
245.2,3.5136148227
245.7,3.5483513261
246,3.5755918185
246.1,3.5308211841
246.2,3.4969740625
246.5,3.4048966459
246.6,3.474008584
246.9,3.4402774745
247.3,3.3563122835
247.4,3.4185318153
247.8,3.430078895
247.9,3.306248703
248.3,3.2148799936
248.5,3.3212686709
248.6,3.2878640011
248.7,3.3474087661
249.2,3.2876039636
249.7,3.2711189013
249.9,3.2525049456
250.1,3.1655665228
250.4,2.9752417517
251,2.8900911899
251.1,2.8903197892
251.6,2.7875974643
252,2.7459217727
252.4,2.702445905
252.7,2.7167375411
253.3,2.5188604838
253.4,2.689136314
253.6,2.8001867399
253.8,2.8840828761
254,2.9191509824
254.2,2.8711513468
254.4,2.7195370306
255.3,2.7293662667
255.5,2.6430691094
255.8,2.5690889565
255.9,2.634805938
256.1,2.5794202815
256.4,2.6178904655
256.5,2.5579662108
256.7,2.6783968867
256.8,2.8061229414
257,2.8504965419
257.1,2.989054077
257.5,3.0201134734
258,3.0209761416
258.2,2.9618086152
258.3,2.8689808801
258.6,2.762568454
258.8,2.8033582127
259,2.7781851828
259.2,2.6544475733
259.4,2.7435469094
259.7,2.6414683759
259.9,2.6818413941
260.2,2.6788433728
260.6,2.7258379668
261.6,2.4866028924
262.1,2.4071580778
262.2,2.4739249461
262.5,2.4975653736
262.7,2.5439767081
262.9,2.5809994669
263.3,2.4207584241
263.4,2.5232065018
263.9,2.3790152256
264.1,2.2142364446
264.3,2.2663249156
264.7,2.2715830859
264.9,2.2592049458
265,2.3112588288
265.3,2.1464415399
265.6,2.0350620534
265.9,2.0987965846
266.3,2.1066820651
266.5,1.9740509864
266.7,1.9422680114
266.8,1.9182255273
267.5,2.0195808745
267.8,1.9375839898
268,2.0081927596
268.1,1.9727319832
268.3,2.0259875578
268.4,1.9631018816
268.5,1.9493114453
268.6,1.9754919865
268.8,1.9116818453
269.1,1.943955266
269.4,2.1102089482
269.6,2.1825115205
269.9,2.3342374669
270.1,2.2326812438
270.3,2.2532041378
270.6,2.3264907677
270.7,2.3763782269
270.9,2.4238202299
271.3,2.3488769227
271.5,2.3467233786
271.7,2.4779640814
272,2.4500494308
272.3,2.3397679439
272.5,2.2347488466
272.8,2.1523147224
273,2.0214500841
273.2,1.9565508383
273.5,1.8632242328
273.8,1.93424857
273.9,1.9735318267
274.1,1.9165729786
274.5,1.9722564038
274.6,2.0260664812
274.8,1.9059757686
275,2.0858547355
275.2,2.0713252773
276.1,2.2588193404
276.7,2.2691711846
276.9,2.2155077005
277,2.1498115803
277.3,2.2104416532
277.6,2.1482775417
278,2.3014081863
278.2,2.2894514212
278.3,2.3853713109
278.5,2.3424141992
279,2.335200214
279.1,2.2526299844
279.2,2.3395280972
279.4,2.4483486885
279.6,2.410180296
279.9,2.5260460075
280.1,2.5592470957
280.4,2.7290499414
280.8,2.7144542813
281.1,2.6483106875
281.3,2.6036716573
281.5,2.5344498998
281.8,2.5615735871
282.1,2.5448228938
282.4,2.4345042202
282.6,2.3603406315
283,2.2890653232
283.1,2.4004535237
283.4,2.3718007165
283.5,2.3213476385
283.9,2.3154121671
284,2.326692556
284.2,2.3086180594
284.5,2.2014617216
285,2.2152745879
285.3,2.1347809958
285.7,2.2376004673
285.9,2.0526837326
286,1.8925811775
286.2,2.0611945602
286.3,2.0124222059
286.7,2.0423039628
286.8,2.1380397133
287.1,2.0186625796
287.3,2.0010354934
287.4,1.9329929933
287.8,1.9667341985
288,2.1045010796
288.3,2.0460109213
288.4,2.0718924678
288.7,2.0287376738
289.1,2.15661777
289.3,2.2437249751
289.5,2.2425102229
289.8,2.216426477
290.2,2.1797560185
290.5,2.2304616513
290.8,2.3662289598
290.9,2.3796584587
291.2,2.3122638952
291.5,2.3084031117
291.7,2.2100390817
291.9,2.0553015522
292.2,1.9733531119
292.5,2.163185441
292.6,2.0781586474
292.7,2.0205070806
293,2.1030389385
293.4,2.0762172062
293.8,2.0346197497
294.1,1.9731072052
294.6,2.171926327
294.8,2.1074057712
295,2.0708829514
295.2,1.9942788873
295.7,2.1565600791
296,2.2020733552
296.4,2.3289465136
296.5,2.3731965216
296.7,2.271966119
296.8,2.1654632869
297,2.0938594931
297.1,2.2253584447
297.4,2.1994287007
297.5,2.1348506729
297.7,2.0583025726
298,1.9854108298
298.1,1.9858946746
298.4,2.0978777843
298.5,2.1223093156
298.7,2.1098003196
298.9,2.1125247555
299,2.0721533504
299.3,2.1241138036
299.5,2.1602964798
299.7,2.0554128744
