time,difference
128.8,17.2931600588
128.9,23.7980204804
129,12.9551494519
129.1,28.2350914967
129.2,23.1931304289
129.3,21.6991351096
129.4,16.0316381049
129.5,12.4357580255
129.6,12.907620148
129.7,18.4454760807
129.8,7.2502857246
129.9,18.0091971081
130.1,18.4517016084
130.2,26.756710222
130.3,8.8661021142
130.4,14.0310833177
130.6,26.7331361514
130.7,11.490423808
130.8,25.2668236117
130.9,9.675525236
131,1.8808451342
131.1,22.2599181407
131.2,20.046121329
131.3,16.6526683579
131.4,16.7300363447
131.5,6.5386492522
131.6,22.3291216932
131.8,22.3491738351
132,13.2530849011
132.1,24.114417451
132.2,6.4613698866
132.3,22.6622713497
132.4,3.1080875594
132.6,2.3530167757
132.7,2.4688562977
132.8,4.9061660488
132.9,2.4623341349
133,2.5035539955
133.2,17.8535546507
133.3,22.0383514895
133.5,17.8226442991
133.6,22.0262294857
133.7,16.9458154056
133.8,21.8978997859
133.9,14.8762328303
134,22.1356630137
134.1,14.9373774709
134.2,22.0950540799
134.3,10.4819496879
134.4,6.0076844062
134.5,18.6468415742
134.7,14.9657981182
134.9,6.0044421546
135,6.027347406
135.1,2.9370696227
135.5,2.8747483709
135.7,2.8362136871
135.8,2.902254337
136,14.4921152384
136.1,14.500785603
136.2,2.9004338232
136.4,10.7155972946
136.7,22.5248525032
136.8,21.5193234523
136.9,21.5007480254
137,22.3591567463
137.2,22.322542993
137.4,22.3410670151
137.5,22.3871584341
137.6,22.2373982828
137.7,22.3243979737
137.8,22.2449610112
138.1,22.2742483115
138.3,3.6542877269
138.4,22.3455555874
138.5,22.2723760956
138.6,22.3899888848
138.7,18.0020660909
138.8,15.6133742869
138.9,22.3207879035
139,22.3838334328
139.2,22.3428399896
139.4,22.1787792504
139.5,22.2983381894
139.6,22.3461095033
140.1,22.3896166874
140.3,22.3474963679
140.6,22.2569753738
140.7,22.0774449429
140.9,22.0051277062
141.2,21.9581933639
141.3,5.4786003986
141.5,21.772338383
141.6,21.809523509
141.8,5.3759050839
141.9,0.5275764349
142.1,0.5140768919
142.2,5.3152799194
142.3,0.5192630837
142.6,0.6479958241
142.7,0.506876726
142.9,0.7110813801
143.2,0.5932818056
143.4,0.5066250659
143.5,0.4640415142
143.7,0.8178381904
143.9,0.7748433719
144,0.5204596523
144.1,0.7781126082
144.2,0.6759208226
144.4,0.53475431
144.5,0.7029913195
144.7,0.4578212552
144.9,0.5708470518
145,0.2624976696
145.2,0.4351407541
145.3,0.5320032469
145.9,0.5912081116
146.2,0.5855371238
146.3,0.4018613007
146.5,0.4067570961
146.7,0.4579357348
146.9,0.4449994569
147.1,0.4884606752
147.2,0.4103337194
147.4,0.1872149335
147.7,0.2232576085
148,0.4692883907
148.1,0.1725099388
148.3,0.5512721401
148.4,0.2465362561
148.9,0.2731085395
149,0.2105186214
149.3,0.3474793984
149.5,0.1640176846
149.6,0.2516110576
149.8,0.1535775968
150.1,0.2643131229
150.3,0.1585563521
150.4,0.2385995562
150.6,0.1643605895
151.5,0.2398126711
152,0.1489650929
152.3,0.2273666072
152.6,0.2170508443
152.9,0.2472535845
153.2,0.2839042571
154.3,0.2248471744
154.6,0.2505158019
155.2,0.231323031
156.1,0.2952306661
156.4,0.2813252266
157,0.2003386517
157.5,0.2057261451
158.1,0.2350677359
158.4,0.3228800362
158.7,0.2731404472
159,0.2556061405
159.1,0.2271549038
159.4,0.26998905
160,0.2913587401
160.6,0.3326409618
160.8,0.3470903898
161.3,0.3605794152
161.4,0.3428172807
161.9,0.3290628768
162.2,0.3703302608
162.6,0.3554017957
162.9,0.3181996375
163.4,0.3518685636
163.5,0.2943653625
163.7,0.4028506903
164,0.2982302472
164.5,0.306625387
164.7,0.3169021004
164.9,0.3632250074
165.1,0.3654539997
165.5,0.3630030866
165.8,0.4131864874
165.9,0.3778773712
166.9,0.30209478
167.3,0.2852466456
167.6,0.3110831255
168,0.3274404922
168.5,0.357121806
168.8,0.3935180851
168.9,0.3823960707
169.2,0.4076623044
169.6,0.3579555273
169.8,0.3923830615
170.7,0.2987783539
171,0.3600241301
171.6,0.3346515326
171.9,0.3774076919
172.8,0.1989063513
173.1,0.2551697775
173.7,0.2533880025
174.1,0.2875780971
174.3,0.2440816547
174.8,0.2340842963
175.4,0.2264750469
175.5,0.252628175
175.8,0.1630557673
176.1,0.182871719
176.4,0.1462778241
176.9,0.1938024107
177,0.2514034907
177.4,0.2389004596
178.2,0.1889279135
178.5,0.2267619895
179.1,0.2421769272
179.3,0.1614249363
179.8,0.2284688919
179.9,0.1808862497
180.4,0.1747423007
180.6,0.1694025867
181.3,0.1214386125
181.8,0.1450196445
182.2,0.1748522846
182.8,0.1180703449
183,0.1399430521
183.6,0.1404831749
183.9,0.049521838
